Label,Question
0,How many seashells did she give to Sam ?
0,How many bales did he store in the barn ?
0,How many cups does she need to add ?
0,How many walnut trees did the workers plant today ?
0,how many did he pick ?
0,How many roses did she cut ?
0,How many football games did Joan go to in all ?
1,How many yellow balloons do they have in total ?
0,How many walnut trees will the park have when the workers are finished ?
0,How many dimes does Sam have now ?
0,How many puppies did she have to start with ?
1,How many pencils are now there in total ?
1,How many seashells did they find together ?
1,How many carrots did they grow in total ?
1,How many apples were picked in total ?
1,How many seashells did they find together ?
0,How many kittens did he have to start with ?
1,How many blue balloons do they have in total ?
0,How many dimes does Melanie have now ?
1,How many plums were picked in total ?
0,How many dogwood trees will the park have when the workers are finished ?
1,How many onions did they grow in all ?
1,How many blue marbles do they have in all ?
1,How many seashells did they find together ?
1,How many watermelons did they grow in total ?
1,How many rulers are now there in all ?
1,How many books do they have together ?
0,How many quarters does he have now ?
1,How many seashells did they find together ?
1,How many red balloons do they have in total ?
1,How many oranges were picked in total ?
0,How many basketball games did Fred go to in total ?
1,How many pencils are now there in total ?
0,How many nickels does he have now ?
1,How many turnips did they grow in total ?
0,How many walnut trees will the park have when the workers are finished ?
0,How many quarters does she have now ?
1,How many pencils are now there in total ?
1,How many books do they have together ?
1,How many blue balloons do they have in total ?
1,How many cantelopes did they grow in total ?
0,How many football games did Sam go to in all ?
1,How many seashells did they find together ?
0,How many dogwood trees will the park have when the workers are finished ?
1,How many books do they have together ?
1,How many pears were picked in total ?
1,How many cantelopes did they grow in total ?
0,How many dimes does Melanie have now ?
1,How many blue balloons do they have in all ?
1,How many pencils are now there in total ?
0,How many maple trees did the workers plant today ?
0,How many seashells did he give to Jessica ?
0,how many did she pick ?
0,how much did he spent on the baseball gear ? .
0,How many roses did she cut ?
0,How much money did he make washing cars ?
1,How many potatoes did they grow in total ?
1,How many crayons are now there in total ?
0,How many oak trees will the park have when the workers are finished ?
0,How many unbroken seashells did Tom find ?
1,How many lemons were picked in total ?
1,How many cakes were served today ?
0,How many orange balloons does Joan have now ?
0,How many dimes does Fred have now ?
0,How many kittens does she have now ?
0,How many dogwood trees will the park have when the workers are finished ?
1,How many pencils are now there in total ?
0,How many seashells does he now have ?
1,How many books do they have together ?
0,How many baseball cards does Mike have now ?
1,How many pumpkins did they grow in total ?
0,How many violet marbles does he now have ?
0,How many popular trees will the park have when the workers are finished ?
1,How many scissors are now there in all ?
1,How many pears were picked in all ?
0,How many pennies does he have now ?
0,How many seashells does she now have ?
1,How many books do they have together ?
1,How many oranges were picked in total ?
1,How many turnips did they grow in all ?
0,How many Pokemon cards does Jason have now ?
1,How many pencils are now there in all ?
0,How many Pokemon cards does Jason have now ?
0,How many orange marbles does he now have ?
0,How many dimes does she have now ?
0,How many orchid bushes will the park have when the workers are finished ?
0,How many watermelons does Sam have ?
0,How many Pokemon cards did he have to start with ?
0,How many nickels does Mary have now ?
1,How many turnips did they grow in all ?
1,How many yellow marbles do they have in all ?
1,How many carrots did they grow in all ?
0,How many seashells does he now have ?
0,How many baseball cards does Fred have now ?
0,How many potatoes does Mary now have ?
0,How many quarters does Jessica have now ?
1,How many hamburgers were over from lunch ?
1,How many crayons are there now ?
0,How many limes does Dan have now ?
0,How many blue balloons does Joan have now ?
0,How many apples does Joan have now ?
0,How many baseball cards does Fred have now ?
0,How many seashells does he now have ?
0,How many books does Joan now have ?
1,How many rulers are now in the drawer ?
0,How many oak trees will be in the park when the workers are finished ?
0,How much did Joan spend on video games ?
0,How much did Mike spend at the music store ?
0,In total how much did Alyssa spend on toys ? .
0,What was the total cost of Jessica 's purchases ?
1,What was the total of the lunch bill ?
0,In total how much money did Jason spend on clothing ? .
0,In total how much money did Alyssa spend ? .
0,In total how much money did she spend ? .
0,How much money did Sandy spend on clothes ?
0,In total how much did Mike spend on toys ? .
0,In all how many ear muffs do the customers buy ? .
1,In all how many liters of oil leaked into the water ? .
1,How many cars is that in all ?
1,How many yen do they have ?
0,How many books do the libraries in Oak Grove have overall ?
0,How many houses are there now in Lincoln County ?
0,How many bushels of wheat does the farmer harvest ?
1,How much money was in the account before the transfer ?
0,How many acres does the prairie cover ?
1,How many ladybugs are there in all ?
0,How many new people began living in the country last year ?
0,How many employees work for the corporation ?
0,How many salmon made the trip ?
0,How many houses did developers build during the housing boom ?
0,How many blood cells were in the second sample ?
1,how many pounds of fresh fruit have been sold so far ? .
0,how much is it worth now ? .
1,how many tickets did they sell in the second half ? .
0,How many more bacteria are there now ?
1,how many eggs did they use in the afternoon ? .
1,How many coats were collected at the elementary schools ?
0,how many gallons of blue paint did the company use ? .
0,how many of its customers live in other countries ? .
1,How many gallons of oil leaked while the engineers were fixing the pipe ?
1,how many grams of strawberry jelly do they have ? .
1,How many inches of the road had they repaved before today ?
0,How many more algae plants are in Milford Lake now ?
0,How many cups of nuts did Karen put in the trail mix in all ?
0,How far did Kendall drive in all ?
0,How much more pie did Erik eat than Frank ?
0,How much more did the tailor cut off the skirt than the pants ?
0,How much farther did Darnel sprint than jog ?
0,How much longer was the first fish ?
0,How many pounds of peppers did Hannah 's Vegetarian Restaurant buy in all ?
1,Together how much dog food do the 2 dogs eat each day ? .
0,How much water is in the bucket ?
0,Altogether what fraction of their budget does the Montoya family spend on food ? .
0,What fraction of the students received either A 's or B 's ?
0,how much oil will be in the measuring cup ? .
0,How much more flour than sugar did Dina use ?
0,How many buckets of fish does the polar bear eat daily ?
0,How much farther did Jenny run than walk ?
0,What fraction of the students in the band are in either trumpet section or the trombone section ?
0,How much longer was the longer worm ?
0,How many pounds of fruit did Scarlett use in all ?
0,How much longer is Vince 's bus ride than Zachary 's ?
1,How much milk did they drink in all ?
0,How much hair did she have cut off in all ?
0,What fraction of the apartments are either 1 - two-bedroom apartments ?
0,How much taller was Miki 's sandcastle than her sister 's ?
0,How much more baking powder did Kelly have yesterday ?
0,How many more acres did Greg harvest than Sharon ?
0,What fraction of the nails are either size 2d or 4d.
0,How much more brown sugar did Victor use ?
0,How much farther did Eve run than walk ?
0,How many cups of raisins did Jonah add in all ?
0,How much extra food is needed to feed the second cat ?
1,What was the total amount of snowfall ?
0,How many bags of flour did the bakery use in all ?
0,How much water had leaked out of the bucket ?
0,How many miles did Irwin 's family hike in all ?
0,Altogether how many bottles of mustard does the waitress find ? .
,How many leftover tarts did the restaurant have in all ?
,How many miles did Trisha walk in all ?
,How many pounds of trail mix did Brandy make ?
,How many cartons of ice cream did Allie have in all ?
,How many tons of marble did Paco 's Countertop Company purchase in all ?
,How many centimeters of rain did the class record in all ?
,How many miles did Spencer walk in all ?
,How many tons of material did the company order in all ?
,How many light-years did the spaceship travel in all ?
,How many total centimeters of snow did Logan record ?
,How many cups of ingredients did Ellen use for the smoothies ?
,How many pitchers of lemonade did Jonah pour in all ?
,How many miles did Heather walk in all ?
,How many truck-loads of material were needed in all ?
,What was the total weight of the plastic rings ?
,How many cups of liquid did Kenny use in all ?
,How much farther did Craig ride than walk ?
,How much more does the chemistry textbook weigh than the geometry textbook ?
,How much cement did Roadster 's Paving Company use in all ?
,How much water did Sam pour into the pool ?
,How many laps did Kyle jog in all ?
,how many gallons will there be in all ? .
,How much soda did they drink in all ?
,How much more did the piece of iron weigh than the piece of aluminum ?
,How far did the fault line move in all ?
,How many pages worth of people did Rosa call in all ?
,How much taller was Janet 's sandcastle than her sister 's ?
,How much longer was the green caterpillar than the orange caterpillar ?
,How many pints did they eat in all ?
,How many buckets of seeds did the farmer sow ?
,How much taller is the new lamp than the old lamp ?
,How much longer was the white line than the blue line ?
,how many gallons will there be in all ? .
,How much farther did Wendy run than walk ?
,How long is the piece of wood now ?
,How many pounds of snacks did she buy in all ?
,How much did it rain in April ?
,what will the scale read ?
,How much honey remains ?
,How much did it rain on Tuesday ?
,How much did it snow on Monday and Tuesday combined ?
,How much pepper does Brennan have ?
,How many tons of material did the company buy in all ?
,How much did it rain on Saturday and Sunday combined ?
,How much sugar is remaining ?
,How much fruit is left ?
,How many kilograms of nuts did the chef buy in all ?
,How much did the 2 pumpkins weigh all together ?
,How much sand does the truck have when it arrives at the yard ?
,How tall is Tori now ?
,How long is the piece of wood now ?
,How many seashells does Jason now have ?
,How many carrots did they grow in all ?
,How many green marbles does Dan now have ?
,How many books do they have together ?
