Label,Label2,Question
1,all,Altogether how many bins would the canned food take up ? .
0,+,Altogether how many bottles of mustard does the waitress find ? .
0,+,Altogether how many bottles of mustard does the waitress find ? .
0,-,Altogether what fraction of their budget does the Montoya family spend on food ? .
0,-,Altogether what fraction of their budget does the Montoya family spend on food ? .
0,+,How far did Kendall drive in all ?
0,+,How far did Kendall drive in all ?
0,+,How far did Terrell hike all together ?
1,all,How far did the fault line move in all ?
1,all,How far did the fault line move in all ?
0,+,How far did you walk altogether ?
0,+,How long is the piece of wood now ?
0,+,How long is the piece of wood now ?
0,+,How long is the piece of wood now ?
0,,how long will it be ? .
1,all,How many acres does the prairie cover ?
1,all,How many acres does the prairie cover ?
0,-,How many apples are left in the box ?
0,-,How many apples are left in the jar ?
0,+,How many apples are there in the pile ?
0,+,How many apples are there in the pile ?
0,+,How many apples does Annie have in all ?
0,+,How many apples does Charles have in all ?
0,+,How many apples does Harry end with ?
0,+,How many apples does he have now ?
0,+,How many apples does Janet have in all ?
0,+,How many apples does Jennifer end with ?
0,+,How many apples does Joan have now ?
0,+,How many apples does Joan have now ?
0,+,How many apples does Joyce end with ?
0,+,How many apples does Ruth end with ?
0,+,How many apples does Sean have in all ?
0,+,How many apples does Tessa have now ?
0,+,How many apples does the farmer have now ?
1,all,How many apples were picked in total ?
1,all,How many apples were picked in total ?
1,all,How many apples were picked in total ?
0,+,How many apples will Craig have ?
0,+,How many apples will Ruby have ?
1,all,how many apples would they have ? .
1,all,how many apples would they have ? .
1,all,how many apples would they have ? .
1,all,how many apples would they have ? .
1,all,how many bad carrots did they have ? .
1,all,how many bad carrots did they have ? .
1,all,how many bad carrots did they have ? .
1,all,how many bad carrots did they have ? .
1,all,how many bad carrots did they have ? .
1,all,how many bad carrots did they have ? .
1,all,how many bad carrots did they have ? .
0,-,How many bags of flour did the bakery use in all ?
0,-,How many bags of flour did the bakery use in all ?
0,+,How many bags of fruit did Charlie pick in total ?
0,,How many bales did he store in the barn ?
0,,How many bales did he store in the barn ?
0,,How many bales did he store in the barn ?
0,,How many bales did he store in the barn ?
0,+,How many balloons did she blow up in all ?
0,+,How many balloons did Tommy have to start with ?
0,+,How many balloons does the clown have now ?
0,-,How many bananas are left in the jar ?
0,+,How many bananas are there in the pile ?
0,+,How many bananas does David have in all ?
0,+,How many bananas does Lisa end with ?
0,+,How many bananas does Norma end with ?
0,+,How many bananas does Teresa end with ?
0,+,How many bananas does Tina have in all ?
0,+,How many bananas will Melissa have ?
0,+,How many baseball cards does Carter have ?
0,+,How many baseball cards does Dan have now ?
0,+,How many baseball cards does Fred have now ?
0,+,How many baseball cards does Fred have now ?
0,+,How many baseball cards does Fred have now ?
0,+,How many baseball cards does Mary have now ?
0,+,How many baseball cards does Mike have now ?
0,+,How many baseball cards does Mike have now ?
0,-,How many baseball games did Benny miss ?
0,-,How many baseball games did Fred miss ?
0,-,How many baseball games did Joan miss ?
0,+,How many basketball games did Fred go to in total ?
0,+,How many basketball games did Mike go to in total ?
1,all,How many bathing suits are available overall ?
0,,How many beavers are still working on their home ?
0,+,How many birds are on the fence ?
0,+,How many birds are sitting on the fence ?
0,+,How many birds were in the marsh ?
0,+,How many birds were there altogether in the tree ?
1,all,How many birds were there in all ?
0,+,How many black marbles does Sara now have ?
1,all,How many blocks are left ?
0,+,How many blocks does Ann end with ?
0,+,How many blocks does Anna have ?
0,+,How many blocks does Bobby have ?
0,+,How many blocks does Carol end with ?
0,+,How many blocks does Heather end with ?
0,+,How many blocks does Martha end with ?
0,+,How many blocks does Mildred end with ?
0,+,How many blocks does Mildred end with ?
0,+,How many blocks does Wanda have in all ?
0,+,How many blocks does Wayne have ?
0,+,How many blocks will Carlos have ?
0,+,How many blocks will Sean have ?
0,+,How many blood cells were in the second sample ?
0,+,How many blood cells were in the second sample ?
1,all,How many blue balloons do they have in all ?
1,all,How many blue balloons do they have in all ?
1,all,How many blue balloons do they have in total ?
1,all,How many blue balloons do they have in total ?
1,all,How many blue balloons do they have in total ?
1,all,How many blue balloons do they have in total ?
0,+,How many blue balloons does Joan have now ?
0,+,How many blue balloons does Joan have now ?
1,all,How many blue marbles do they have in all ?
0,,How many bones did he start with ?
0,+,How many books about sports does Iesha have ?
0,+,How many books about sports does Iesha have ?
0,+,How many books about sports does Iesha have ?
0,+,How many books did he buy at the yard sale ?
0,+,How many books did our class get from the library ?
0,+,How many books did she buy at the yard sale ?
0,+,How many books do the libraries in Oak Grove have overall ?
1,all,How many books do they have together ?
1,all,How many books do they have together ?
1,all,How many books do they have together ?
1,all,How many books do they have together ?
1,all,How many books do they have together ?
1,all,How many books do they have together ?
1,all,How many books do they have together ?
1,all,How many books do they have together ?
1,all,How many books do they have together ?
1,all,How many books do they have together ?
0,+,How many books does Joan now have ?
0,+,How many books does Joan now have ?
0,+,how many books would Adam have ? .
0,+,how many books would be in the bin ? .
0,+,how many books would Kaleb have ? .
0,+,how many books would Roger have ? .
0,+,how many bottle caps are in the box ? .
0,+,how many bottle caps are in the box ? .
0,-,How many bottle caps are left ?
0,-,How many bottle caps are left in the jar ?
0,+,How many bottle caps does Anne end with ?
0,+,How many bottle caps does Diana end with ?
0,+,How many bottle caps does Marilyn end with ?
0,+,How many bottle caps does Nancy end with ?
0,+,How many bottle caps does Pamela end with ?
0,+,How many bottle caps does Sarah have in all ?
0,+,How many bottle caps does William have in all ?
0,+,How many bottle caps does William have in all ?
0,+,How many bottle caps does William have in all ?
0,+,How many bottle caps will Katherine have ?
0,+,how many bottles would she have ? .
0,+,how many bottles would she have ? .
1,-,How many boys went down the slide ?
0,+,How many buckets of fish does the polar bear eat daily ?
0,+,How many buckets of fish does the polar bear eat daily ?
0,+,How many buckets of seeds did the farmer sow ?
0,+,How many bushels of wheat does the farmer harvest ?
0,+,How many bushels of wheat does the farmer harvest ?
1,all,How many cakes were served in total ?
1,all,How many cakes were served today ?
1,all,How many cakes were served today ?
0,-,How many candies are left in the box ?
0,+,How many candies are there in the pile ?
1,all,How many candies do they have in all ?
0,+,How many candies does Anna end with ?
0,+,How many candies does Barbara have in all ?
0,+,How many candies does Joseph have in all ?
0,+,How many candies does Lillian have ?
0,+,How many candies does Patricia end with ?
0,+,How many candies will Roger have ?
1,all,How many cantelopes did they grow in total ?
1,all,How many cantelopes did they grow in total ?
1,all,How many cantelopes did they grow in total ?
1,all,How many cards are there total ?
1,all,How many cards are there total ?
0,+,How many cards does Aaron end with ?
0,+,How many cards does Emily have ?
0,+,How many cards does Helen end with ?
0,+,How many cards does Larry end with ?
0,+,How many cards does Martha end with ?
0,+,How many cards does Ralph have ?
0,+,How many cards does Sally have now ?
0,+,How many cards will Brian have ?
0,+,How many cards will Dorothy have ?
0,+,How many cards will Jennifer have ?
0,+,How many cards will Norma have ?
1,all,How many carrots did they grow in all ?
1,all,How many carrots did they grow in all ?
1,all,How many carrots did they grow in all ?
1,all,How many carrots did they grow in all ?
1,all,How many carrots did they grow in total ?
1,all,How many carrots did they grow in total ?
0,+,how many carrots would she have total ? .
0,+,how many carrots would she have total ? .
0,+,how many carrots would she have total ? .
0,+,how many carrots would she have total ? .
0,+,how many carrots would she have total ? .
0,+,how many carrots would she have total ? .
1,all,How many cars is that in all ?
1,all,How many cars is that in all ?
0,+,How many cartons of ice cream did Allie have in all ?
0,+,How many cartons of ice cream did Allie have in all ?
1,all,How many cats do they have left ?
1,all,How many cats do they have left ?
1,all,How many cats do they have left ?
1,all,How many cats do they have left ?
1,all,How many cats do they have left ?
1,all,How many cats do they have left ?
1,all,How many cats do they have left ?
0,+,How many cats does Mrs. Sheridan have altogether ?
0,+,How many centimeters of rain did the class record in all ?
0,+,How many centimeters of rain did the class record in all ?
0,+,How many children got on the bus at the bus stop ?
0,+,How many children got on the bus at the bus stop ?
0,+,How many children were on the playground at recess ?
1,all,How many children were there in all ?
1,all,How many coats were collected at the elementary schools ?
0,-,How many coins did Kylie have left ?
0,+,how many coloring books would she have total ? .
0,-,How many cookies did Paco have left ?
1,all,How many cookies did they have altogether ?
0,+,how many crayons are in the box ? .
1,all,How many crayons are now there in total ?
1,all,How many crayons are now there in total ?
1,all,How many crayons are now there in total ?
1,all,How many crayons are now there in total ?
1,all,How many crayons are there now ?
1,all,How many crayons are there now ?
0,+,How many crayons does Diane have in all ?
0,+,How many crayons does Jane end with ?
0,+,How many crayons will Billy have ?
0,+,How many crayons will Theresa have ?
0,+,how many cupcakes would she have ? .
0,+,how many cupcakes would she have ? .
0,+,how many cupcakes would she have ? .
0,+,how many cupcakes would she have ? .
0,+,how many cupcakes would she have ? .
0,+,How many cups does she need to add ?
0,,How many cups of flour does she need to add ?
0,,How many cups of flour does she need to add ?
0,+,How many cups of ingredients did Ellen use for the smoothies ?
0,+,How many cups of ingredients did Ellen use for the smoothies ?
0,+,How many cups of liquid did Kenny use in all ?
0,+,How many cups of liquid did Kenny use in all ?
0,+,How many cups of nuts did Karen put in the trail mix in all ?
0,+,How many cups of nuts did Karen put in the trail mix in all ?
0,+,How many cups of raisins did Jonah add in all ?
0,+,How many cups of raisins did Jonah add in all ?
1,all,how many customers did leave a tip ? .
1,all,how many customers did leave a tip ? .
0,+,how many customers would he have ? .
0,+,how many customers would he have ? .
0,+,how many customers would he have ? .
0,+,How many did Carla start with ?
0,+,How many did Connie have to start with ?
0,+,How many did he have to add ?
0,+,how many did he pick ?
0,+,how many did he pick ?
0,+,how many did he pick ? .
0,+,How many did she have to start with ?
0,+,how many did she pick ?
0,+,how many did she pick ?
0,+,how many did she pick ? .
0,+,How many did she start with ?
0,+,How many dimes does Fred have now ?
0,+,How many dimes does Fred have now ?
0,+,How many dimes does he have now ?
0,+,How many dimes does Melanie have now ?
0,+,How many dimes does Melanie have now ?
0,+,How many dimes does Melanie have now ?
0,+,How many dimes does Melanie have now ?
0,+,How many dimes does Sam have now ?
0,+,How many dimes does Sam have now ?
0,+,How many dimes does Sam have now ?
0,+,How many dimes does Sara have now ?
0,+,How many dimes does she have now ?
0,+,How many dimes does she have now ?
0,+,How many does Charlie have ?
0,-,How many does he have left ?
0,-,How many does Kelly need to give away ?
0,-,How many does she have left ?
0,-,How many does she need to give away ?
0,-,How many does she need to give away so that ?
0,+,How many dogwood trees will the park have when the workers are finished ?
0,+,How many dogwood trees will the park have when the workers are finished ?
0,+,How many dogwood trees will the park have when the workers are finished ?
0,+,How many dogwood trees will the park have when the workers are finished ?
0,+,How many dogwood trees will the park have when the workers are finished ?
0,+,How many dollars does she have to earn ?
1,all,how many dolls would they have ? .
1,all,How many ducks are swimming in the lake ?
0,+,how many eggs are in the box ? .
0,-,How many eggs are left in the jar ?
1,all,how many eggs did they use in the afternoon ? .
0,+,How many eggs does Andrew end with ?
0,+,How many eggs does Mary end with ?
0,+,How many eggs does Shirley end with ?
0,+,How many eggs will Bruce have ?
0,+,How many employees work for the corporation ?
0,+,How many employees work for the corporation ?
0,-,How many erasers are left in the box ?
0,-,How many erasers are left in the box ?
1,all,How many erasers are now there in total ?
0,+,How many erasers does Aaron end with ?
0,+,How many erasers does Marie end with ?
0,+,How many erasers does Peter end with ?
